Gene,Half-life_TC1,Half-life_TC2,Half-life_TC3,Average_Half_Life
YNL191W,-5095155.453400164,110.20645148925075,,-2547522.623474337
YPR151C,29.530474401501948,-285293.3329686552,2198.2964591865434,-94355.16867835574
YPL186C,45.8311650576854,-116567.85757545484,39.79810449174104,-38827.40943530181
YBR228W,79.14388870338925,-42746.94576413869,54.42604209997442,-14204.458611111775
YGR248W,-5609.942040627078,,,-5609.942040627078
YIL136W,43.52964102550807,-14027.42263023549,63.961134952939794,-4639.977284752346
YKR015C,42.27669363748622,-10682.179084030193,44.31355371044288,-3531.8629455607547
YMR186W,116.92885473160236,-6524.923199266434,,-3203.9971722674154
YDR317W,-3007.2095823599184,,32.96027674777207,-1487.124652806073
YHL036W,212.8084952079888,-4787.187031055442,308.13821575484474,-1422.0801066975362
YBR072W,-1390.9770372086448,,,-1390.9770372086448
YER150W,-1249.2691832748371,,,-1249.2691832748371
YFL050C,-2368.643317488288,26.881731666148337,,-1170.88079291107
YBR126C,50.2148994671565,-3568.055011294769,97.91028713644884,-1139.976608230388
YPL281C,78.9624775770709,-3464.5982293785974,105.33042150727782,-1093.435110098083
YHL021C,58.0893399084158,,-2111.8326043076577,-1026.871632199621
YDR384C,28.67037384460359,-2910.987058838976,15.11776734810857,-955.7329725487548
YOR120W,55.49358838441665,,-1876.5835249659133,-910.5449682907484
YNL275W,32.152582426606415,130.23694629355464,-2686.285500257225,-841.2986571790212
YPL114W,25.004519387719444,-2565.246578789276,49.58697198505144,-830.2183624721683
YMR174C,60.44987140544443,-2634.157733018851,101.91210456333772,-823.9319190166897
YKL018W,22.3236587425787,-2497.289187624672,19.32197952191704,-818.5478497867256
YIR025W,-2516.448740499304,25.96148962919234,64.4950625761109,-808.6640627646669
YMR107W,30.26279511929205,-2893.157820287561,456.6573302556481,-802.0792316375404
YNL171C,54.46651151749924,30.374940207017247,-2480.4311400510724,-798.529896108852
YJL206C,38.558329992681024,-2131.098751245543,17.6821522632878,-691.6194229965248
YOL132W,-1436.241654153462,,77.21011533681016,-679.5157694083259
YMR112C,,-1275.5806591359133,16.65582727107616,-629.4624159324186
YPL272C,26.19858726304044,-1877.2624744162288,13.638394847571748,-612.4751641018721
YHR079C,6.867286726448012,-1846.6913237711503,9.298078653561909,-610.1753194637134
YMR136W,67.95418236792653,-1822.678528852296,23.38598661702021,-577.1127866224496
YGR179C,,-1148.3040344623591,12.74642494577105,-567.7788047582941
YOR298W,-541.4801883346561,,,-541.4801883346561
YJL089W,-1685.165336848714,97.04251105214205,24.424921743181404,-521.2326346844635
YDL190C,31.775293502898403,-1648.223620994944,70.38290762458067,-515.3551399558216
YKL011C,24.21454450281213,-317.95928788423487,-1057.5710751676047,-450.43860618300914
YOR379C,99.07252037830382,-1461.482132785565,87.10473341208564,-425.1016263317252
YML108W,18.4529982014339,-863.5243152080565,,-422.5356585033113
YLR366W,26.059058242380218,-1319.201317946951,76.68745249678895,-405.4849357359273
YOR027W,-389.8062224882459,,,-389.8062224882459
YPL161C,37.37710392034945,-1207.1841279769385,16.019355797116678,-384.59588941982406
YOR192C,57.15913516235343,-1138.453376859033,31.774122161986664,-349.8400398448976
YDR428C,116.82911472349583,-801.3449288417428,,-342.25790705912345
YDR153C,,-685.9703121935752,14.79255392982319,-335.588879131876
YPL106C,42.42175248662348,-1088.2286448101534,120.2547039837158,-308.51739611327133
YGL121C,31.73460161784113,-994.2346294674908,41.13095023654602,-307.12302587103454
YDR535C,-392.25697674704105,-557.6837122168088,34.669421828530204,-305.0904223784399
YJL207C,-616.1488663834498,,41.23818244383819,-287.4553419698058
YOL162W,-650.4747444791273,,86.36835024071381,-282.05319711920674
YOL085C,64.19169154704228,46.35721605780537,-946.5091317160624,-278.6534080370716
YLR091W,21.63074167820917,-821.6244825201695,19.18997477612101,-260.26792202194645
YHR079C-A,34.4163025883222,-826.6229526655911,28.65075310868037,-254.51863232286283
YHR021W-A,89.10035321174354,-897.1451999226448,44.897494597688805,-254.38245070440416
YKL050C,91.06563781253452,-872.0577060227994,39.15364060194143,-247.27947586944117
YMR323W,50.92607533587716,-911.05778114388,128.75425632494515,-243.79248316101925
YBR169C,-243.3424578137119,,,-243.3424578137119
YLL053C,24.043619654026035,-847.9763221985567,100.44563133818728,-241.16235706878112
YJL129C,7.615059339709214,-739.8070681205938,10.183573696708098,-240.66947836139215
YGR142W,42.43924330433771,-803.9408843819236,40.48935580339172,-240.33742842473137
YOR393W,116.6510243479163,-948.4792000465668,113.33307483939883,-239.4983669530839
YKL036C,121.703219952636,-1028.67445771456,202.7719705400363,-234.7330890739626
YBL075C,-227.186220197187,,,-227.186220197187
YOR044W,33.40110285929924,-724.903510446926,31.638989108038896,-219.95447282652927
YCL074W,162.80175549398774,-833.5579395354728,27.442916448841213,-214.43775586421464
YDL009C,44.431701117983046,-718.4627069102606,35.41300181986144,-212.8726679908054
YNL009W,74.8552388512993,-838.9922268880231,139.1666228105695,-208.3234550753848
YLR445W,50.75783831612892,,-446.18366633891264,-197.71291401139183
YDL039C,380.0611672337053,-1032.147155468668,67.02530175748674,-195.02022882582528
YMR104C,374.41552500442174,-276.0627452296826,-681.3339926805304,-194.3270709685971
YKL108W,27.84040370122729,-611.3512147699911,19.11733097247505,-188.13116003209623
YNR004W,59.52937237285797,-669.3755383731204,48.68153058396901,-187.0548784720978
YPR096C,82.88378009406932,-664.1385480220869,24.40970543099065,-185.6150208323423
YKR004C,43.786162350777246,-600.8110338513613,28.65470767569715,-176.12338794162898
YLR162W,51.96617934074524,260.01426044674605,-834.8022864936427,-174.27394890205048
YIL099W,67.8447472040612,-627.5923811383072,58.3426196997446,-167.13500474483382
YPR150W,54.390300037617344,-723.8977795305605,174.7673347941098,-164.9133815662778
YGR249W,38.65388357744935,-365.4880850411474,,-163.41710073184902
YPR068C,33.8194981517218,-529.7875081644694,26.42504611689544,-156.51432129861738
YMR304W,24.31835611304347,-513.2748453339468,26.80869431436104,-154.04926496884744
YJL048C,35.5099811730986,-535.7956038733126,40.35187160110718,-153.31125036636897
YBL064C,268.49240199506244,265.222711702103,-982.3761075877094,-149.55366463018132
YPR164W,31.282362315995904,-491.2870954167894,19.552537358081512,-146.81739858090398
YDL105W,-544.8907038179926,70.37062594917974,36.96712000262808,-145.85098595539495
YER098W,30.664611220123025,-522.9927480784925,57.62062633859967,-144.9025035065899
YJL042W,37.156544389493526,-506.630791362018,41.56469385099823,-142.6365177071754
YPL068C,24.69884546011228,-464.7768126030223,13.153519535173515,-142.30814920257882
YPL185W,112.39750350502732,-566.2667741214732,35.38477007661695,-139.4948335132763
YLR205C,96.97278532715586,-592.6662327934766,82.99517876263738,-137.5660895678945
YPR184W,59.952562607485525,,-332.25316821919614,-136.15030280585532
YDR403W,55.72169224078059,-495.30106183772506,34.41415671564884,-135.05507096043186
YOL159C,,-306.8671424096546,37.70111471577995,-134.58301384693732
YPR160W,75.67803632941462,,-343.4322961052728,-133.8771298879291
YER181C,97.73465275899002,-565.6494275270783,68.54365183462565,-133.12370764448755
YLR045C,17.27692105231653,-428.3847741335916,14.005540600746125,-132.36743749350964
YDR402C,23.59864407985124,-431.8541644703538,22.129576840230392,-128.70864785009073
YKL162C,78.00062387484917,-492.29024794461657,48.35736201884913,-121.97742068363942
YDR258C,239.33032016958964,,-477.9456946799487,-119.30768725517952
