"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","nucleic acid binding","GO:0003676","true","3.2102682107062967e-10","9.493458681749747","1226","599","180","6539","YBR072W,YOR120W,YJL206C,YMR136W,YJL089W,YKL011C,YOR027W,YKL108W,YGR249W,YDR097C,YKL109W,YDR259C,YOR028C,YHL024W,YOR344C,YLR165C,YPL123C,YIR013C,YAL015C,YHR218W,YDR280W,YBL111C,YLL066C,YLR467W,YDR088C,YKL113C,YFL066C,YGR074W,YHL038C,YBR154C,YHR054C,YOR310C,YDR362C,YLR197W,YFR034C,YHR084W,YPL029W,YPR187W,YLR103C,YIL061C,YNL232W,YDL167C,YDL111C,YGL078C,YLR175W,YBR010W,YHR170W,YKR024C,YDR369C,YMR167W,YDR496C,YER112W,YNL030W,YOL021C,YBR060C,YER190W,YBR202W,YOR056C,YHR069C,YNL031C,YIR008C,YNL317W,YDL070W,YDR225W,YDR449C,YOR145C,YDL208W,YGR103W,YBR009C,YMR125W,YLL004W,YDR224C,YNL248C,YCR057C,YNL306W,YCL067C,YOR243C,YOL077C,YPR190C,YER107C,YDL201W,YLR009W,YER159C,YBL003C,YHR127W,YHR089C,YGL071W,YBR215W,YDL074C,YKL156W,YMR285C,YBR278W,YHL050C,YCR106W,YLR401C,YGR005C,YNL082W,YJL194W,YNL061W,YLR382C,YBR031W,YMR239C,YKL009W,YOR206W,YHR143W-A,YPR163C,YKL082C,YLR147C,YLR355C,YDL014W,YDR012W,YBL035C,YCR096C,YDR121W,YNR054C,YKL122C,YOL149W,YPR110C,YOR201C,YOR063W,YMR282C,YNL124W,YBR049C,YCR065W,YDR429C,YCR040W,YPL043W,YJR068W,YGR047C,YDR419W,YCL031C,YPL243W,YBL032W,YMR039C,YNL004W,YNL002C,YIL021W,YNL113W,YLR141W,YKL173W,YBL024W,YPL128C,YDR120C,YNL255C,YGR159C,YDR463W,YKL068W,YOL006C,YPL146C,YJR147W,YJR007W,YGR162W,YHR088W,YOL115W,YLR399C,YOR167C,YHR081W,YOL093W,YOR001W,YBR267W,YKL170W,YHR066W,YNL110C,YPL086C,YDR146C,YPR041W,YGR128C,YER025W,YDR365C,YGL099W,YEL032W,YOR004W,YPR137W,YCR092C,YDR194C,YPL082C,YDL031W,YCL055W,YDR045C,YPL183C"
"GO:MF","catalytic activity, acting on a nucleic acid","GO:0140640","true","8.838336675853205e-7","6.0536294590217095","409","599","74","6539","YBR228W,YHR079C,YKL011C,YDR097C,YAL011W,YLR165C,YPL123C,YAL015C,YPR204W,YLR467W,YDR088C,YKL113C,YFL066C,YBR154C,YJL225C,YPL029W,YPR187W,YBL113C,YLR103C,YJL148W,YGL078C,YDR156W,YEL077C,YKR024C,YMR167W,YOL021C,YER190W,YBR202W,YOR056C,YIR008C,YIL177C,YGR056W,YCL054W,YNL248C,YOR243C,YPR190C,YDL201W,YMR285C,YBR278W,YHL050C,YLR401C,YGR005C,YNL082W,YNL061W,YLR382C,YOR340C,YMR239C,YHR143W-A,YDL014W,YBL035C,YNL282W,YOL125W,YDR121W,YDR083W,YPR110C,YOR201C,YML080W,YJR068W,YDR419W,YNR046W,YIL021W,YNL113W,YBL024W,YOL006C,YOL115W,YOL093W,YOL010W,YOR001W,YEL032W,YCR092C,YDR194C,YPL082C,YDL031W,YDR045C"
"GO:MF","organic cyclic compound binding","GO:0097159","false","0.0000015959354440624472","5.7969846799367195","1948","599","241","6539","YMR186W,YBR072W,YOR120W,YJL206C,YHR079C,YMR136W,YJL089W,YKL011C,YOR027W,YPL106C,YBR169C,YBL075C,YNL009W,YMR104C,YKL108W,YGR249W,YLR205C,YPR160W,YDR402C,YDR258C,YML054C,YDR097C,YDR531W,YGR010W,YKL109W,YDR259C,YBL098W,YOR028C,YPR141C,YCR036W,YHL024W,YGL125W,YOR344C,YLR165C,YPL123C,YIR013C,YAL015C,YHR218W,YDR280W,YBL111C,YPR204W,YLL066C,YLR467W,YDR088C,YKL113C,YFL066C,YGR074W,YHL038C,YBR154C,YHR054C,YDR399W,YDR197W,YOR310C,YDL225W,YDR362C,YLR197W,YFR034C,YHR084W,YJL225C,YPL029W,YBL016W,YPR187W,YLR103C,YIL061C,YNL232W,YDL167C,YDL111C,YGL078C,YLR175W,YBR010W,YEL077C,YHR170W,YKR024C,YDR369C,YMR167W,YDR496C,YER112W,YNL030W,YOL021C,YBR060C,YCL030C,YNL329C,YER190W,YBR202W,YOR056C,YHR069C,YNL031C,YIR008C,YDL017W,YNL317W,YIL177C,YDL070W,YDR225W,YDR449C,YOR145C,YDL208W,YGR103W,YBR009C,YDL178W,YMR125W,YLL004W,YDR224C,YNL248C,YCR057C,YNL306W,YCL067C,YOR243C,YOL077C,YPR190C,YER107C,YDL201W,YLR009W,YER159C,YBL003C,YHR127W,YHR089C,YGL071W,YBR215W,YER070W,YDL074C,YKL156W,YAR018C,YMR285C,YBR278W,YHL050C,YCR106W,YLR401C,YGR005C,YNL082W,YML093W,YJL194W,YNL061W,YLR382C,YBR031W,YPL141C,YMR239C,YDR188W,YKL009W,YOR206W,YHR143W-A,YPR163C,YKL082C,YLR147C,YLR355C,YOR232W,YJR076C,YDL014W,YDR012W,YBL035C,YOR233W,YCR096C,YDR121W,YNR054C,YKL122C,YOL149W,YPR110C,YOR201C,YOR063W,YMR282C,YJL014W,YNL124W,YCL024W,YBR049C,YCR065W,YHR135C,YDR429C,YCR040W,YML080W,YJR069C,YPL043W,YJR068W,YGR047C,YBL068W,YNL154C,YDR419W,YCL031C,YPL243W,YBL032W,YMR039C,YBL039C,YGL083W,YDR441C,YNL004W,YNL002C,YIL021W,YNL113W,YLR141W,YKL173W,YBL024W,YPR145W,YPL128C,YLR180W,YDR120C,YNL255C,YGR159C,YDR463W,YKL068W,YOL006C,YPL146C,YIL142W,YER055C,YJR147W,YJR007W,YGR162W,YHR088W,YNL231C,YOL115W,YLR399C,YOR167C,YHR081W,YOL093W,YOR001W,YBR267W,YKL170W,YHR066W,YNL110C,YPL086C,YDR146C,YPR041W,YNL180C,YML121W,YGR128C,YER025W,YER017C,YDR365C,YGL099W,YDR466W,YEL032W,YNL090W,YOR004W,YPL204W,YPR137W,YCR092C,YDR194C,YPL082C,YDL031W,YHR205W,YCL055W,YDR045C,YBR153W,YPL183C"
"GO:MF","RNA binding","GO:0003723","false","0.0000027818251145252206","5.555670176351179","608","599","97","6539","YBR072W,YOR120W,YOR027W,YHL024W,YLR165C,YPL123C,YDR280W,YDR088C,YGR074W,YHL038C,YOR310C,YLR197W,YPL029W,YIL061C,YNL232W,YDL167C,YDL111C,YGL078C,YLR175W,YHR170W,YKR024C,YDR496C,YER112W,YOL021C,YOR056C,YHR069C,YNL317W,YDR449C,YOR145C,YDL208W,YGR103W,YMR125W,YCR057C,YNL306W,YOR243C,YOL077C,YER107C,YDL201W,YLR009W,YHR089C,YKL156W,YMR285C,YLR401C,YNL061W,YLR382C,YBR031W,YMR239C,YKL009W,YOR206W,YPR163C,YKL082C,YLR147C,YDL014W,YDR012W,YNR054C,YKL122C,YOL149W,YOR201C,YOR063W,YMR282C,YNL124W,YDR429C,YPL043W,YCL031C,YPL243W,YBL032W,YNL004W,YNL002C,YKL173W,YBL024W,YDR120C,YNL255C,YGR159C,YKL068W,YPL146C,YJR007W,YGR162W,YHR088W,YOL115W,YOR167C,YHR081W,YOL093W,YOR001W,YKL170W,YHR066W,YNL110C,YPL086C,YGR128C,YER025W,YDR365C,YGL099W,YOR004W,YPR137W,YDR194C,YDL031W,YCL055W,YPL183C"
"GO:MF","RNA polymerase I activity","GO:0001054","false","0.00013293150130712939","3.8763720903685623","14","599","9","6539","YBR154C,YPR187W,YJL148W,YDR156W,YNL248C,YOR340C,YHR143W-A,YPR110C,YNL113W"
"GO:MF","5'-3' RNA polymerase activity","GO:0034062","false","0.0010052188192860383","2.9977393893238187","34","599","13","6539","YBR154C,YPR187W,YJL148W,YDR156W,YIR008C,YNL248C,YPR190C,YOR340C,YHR143W-A,YPR110C,YIL021W,YNL113W,YDR045C"
"GO:MF","DNA-directed 5'-3' RNA polymerase activity","GO:0003899","false","0.0010052188192860383","2.9977393893238187","34","599","13","6539","YBR154C,YPR187W,YJL148W,YDR156W,YIR008C,YNL248C,YPR190C,YOR340C,YHR143W-A,YPR110C,YIL021W,YNL113W,YDR045C"
"GO:MF","RNA polymerase activity","GO:0097747","false","0.0014669363641367852","2.833588725491195","35","599","13","6539","YBR154C,YPR187W,YJL148W,YDR156W,YIR008C,YNL248C,YPR190C,YOR340C,YHR143W-A,YPR110C,YIL021W,YNL113W,YDR045C"
"GO:MF","protein dimerization activity","GO:0046983","false","0.002173822965052949","2.6627758275134186","101","599","24","6539","YHR079C,YPR141C,YOR344C,YFR034C,YBR010W,YNL030W,YNL329C,YNL031C,YDR225W,YBR009C,YDR224C,YGL112C,YER159C,YBL003C,YBR278W,YOR232W,YBL035C,YDR121W,YPR110C,YNR046W,YIL021W,YNL113W,YPR145W,YPL128C"
"GO:MF","protein heterodimerization activity","GO:0046982","false","0.002480273272160061","2.605500466733089","47","599","15","6539","YPR141C,YBR010W,YNL030W,YNL329C,YNL031C,YDR225W,YBR009C,YDR224C,YGL112C,YER159C,YBL003C,YBR278W,YBL035C,YDR121W,YNR046W"
