"","logFC","logCPM","F","PValue","FDR"
"SNORD36B",2.48299407258973,9.85892089563172,24.9306285027373,6.0664552647651e-07,0.00930775632914821
"SNORD116-18",-3.42173390695545,5.45260089409709,24.6459530439096,7.02870026743304e-07,0.00930775632914821
"SNORA63",2.2136806214139,12.5404761729052,19.263517536418,1.15297568339229e-05,0.0863931081100171
"RNA28S5",2.5758437737438,6.33832311318938,19.0268610430342,1.30478547268291e-05,0.0863931081100171
"SNORA5C",2.32164517045484,6.94506321136612,18.1944153881367,2.01717960383455e-05,0.106850003615116
"SNORA24",2.16438943735012,7.47342902787468,17.347778566432,3.14474946009291e-05,0.138814482417601
"SNORD75",2.0024001454415,8.50755053675431,16.8453251119743,4.09489013507805e-05,0.154933093182203
"RPPH1",1.95713894142524,12.4608280036822,15.3844611362572,8.84270737912737e-05,0.292748881170236
"SNORA10",3.26416134318166,4.50267080607449,14.0318501154045,0.000180980383317721,0.513537637213145
"SNORD45A",1.86070153453809,13.0457729846246,13.7910688145699,0.000205670298262779,0.513537637213145
"VTRNA1-2",1.81028576894071,8.39505576610419,13.7226413190871,0.000213287295047937,0.513537637213145
"SNORD124",1.87524469837481,7.47984356488398,13.476800770813,0.000243076671727937,0.536490470892867
"SHF",3.6467245109143,4.76128299152101,13.131648077051,0.00029211811469533,0.595134482131217
"SNORA2A",2.30098388202556,5.18495196078217,12.834081243056,0.00034234847688689,0.624057212349532
"SCARNA8",2.18103317696461,5.42045535595924,12.6137813774619,0.000385076337337325,0.624057212349532
"RN7SK",1.75757475888028,7.9653191580614,12.57250363602,0.000393662547184684,0.624057212349532
"SNORA21",1.75841191910192,7.88215888115328,12.5399696036862,0.000400565324143555,0.624057212349532
"PRR14L",4.66602479678138,3.82127710272428,12.3572771810114,0.000441660470873325,0.629463586349497
"SNORD18B",1.88383992568038,6.48034253341654,12.2716437692361,0.00046236162869879,0.629463586349497
"RNA18S5",3.97108947288873,4.15190972965172,12.1785351701318,0.000485983917896869,0.629463586349497
"NFE2L2",3.94425026082137,4.22658527539763,12.1287811771014,0.000499102711472133,0.629463586349497
"SNORA11",3.40305896925311,4.59704588794584,11.8574778765861,0.000577194553520393,0.694863534090346
"UBB",4.60050959012293,3.83965284733822,11.7342635983842,0.000616629147617952,0.710061868463541
"SCARNA11",1.81430216098032,6.43972990688681,11.347023071867,0.00075919542272628,0.80667295039868
"SNORD91B",1.78578046880992,6.53274204874944,11.3415251280697,0.000761443222955144,0.80667295039868
"SNORD18C",1.59111398144235,9.04728984013524,11.0844662077958,0.00087440520768232,0.890716227902548
"MORF4L1",4.44265688300308,3.72225298626641,10.6341658536289,0.00111474063160849,1
"SNORD53",1.57731279879902,8.28898743051099,10.6168427925904,0.00112521731891196,1
"MGAT2",-3.98248367471127,3.23643183544965,10.5796151183572,0.00114807232428107,1
"HIST1H4B",3.58589306372636,3.95502124643137,10.2718136107787,0.00135598983830855,1
"PSMD4",4.42473947727028,3.91980272584749,10.1381893382902,0.00145775702929769,1
"RNU4-2",1.81774241065757,5.78189076176843,10.1236759825363,0.00146926454397162,1
"SNORA8",1.6886269731731,6.40628732580693,10.0896919141382,0.00149657538946996,1
"VDAC3",4.41465321957214,3.91467375212879,10.0741993635259,0.00150919648806453,1
"SNORD37",1.51270663784803,10.1298342692685,9.97100323520254,0.00159605574249122,1
"SLC38A1",3.08733497586366,4.7492907788444,9.83168007840623,0.00172142131100994,1
"PRRG4",3.55335310194648,3.98993363906863,9.73479465239636,0.00181443926077741,1
"FNIP1",3.32089033912047,4.35548998917194,9.4032433027059,0.00217312024162997,1
"SNORD42B",1.51767761288663,12.9481177380431,9.39146276136564,0.00218711388783718,1
"LRRC14",2.79661596658132,4.37709402491221,9.2137727055217,0.00240959507704233,1
"BOD1",4.22236361173117,3.61739873810749,9.19382174873551,0.00243597572599755,1
"SNORD67",-1.52925887138757,7.0631139269787,9.06321392538637,0.00261602601777968,1
"TMEM184C",4.22390536902169,3.63754323808932,9.05966521155342,0.00262110344136812,1
"EPHX1",4.16523406749182,3.56901185032887,8.87467397647867,0.00290006976429083,1
"SNORD78",1.45473034961694,12.0623968230267,8.86511828661152,0.00291527165422751,1
"SIAH2",4.18436385376642,3.73956600592304,8.8062101383604,0.00301080200868677,1
"SSR3",3.05935244232831,4.47942517302165,8.80402979614656,0.00301439755670616,1
"SNORD92",1.40835745379801,8.90938025805701,8.78175113599823,0.00305139427290777,1
"SNORD44",1.59541162443786,18.1440908279103,8.7628489364383,0.00308314581217594,1
"MICALL2",-3.7402745718824,3.18488273633147,8.61813814065454,0.00333762419455557,1
"MFAP3",4.13778474757692,3.5364139760582,8.54869206811848,0.0034672346847379,1
"SNORD105B",1.42430123594201,11.9981064265992,8.52476679348723,0.00351306086774644,1
"EP300",2.29823563044238,4.64264378991426,8.48232128014508,0.00359587889136346,1
"EZH2",4.11337238945368,3.67779551784691,8.43719911557056,0.00368611209373909,1
"HK2",4.06506002276188,3.60682175999024,8.34900186509909,0.00386917994275888,1
"SCARNA14",1.58690092086601,6.45772445548115,8.34265886985473,0.00388269508723412,1
"CDS1",4.09605455184957,3.66837919566979,8.34249323123138,0.00388305066578776,1
"SNORD79",1.36730084504648,9.13560145294467,8.32218644145983,0.00392665258166272,1
"SNORD52",1.38548286394642,11.0602136417713,8.27514134525845,0.00402959260231542,1
"MAST2",4.07192757615259,3.55056970062726,8.24539172809376,0.00409610299905236,1
"SNORD29",1.40913942143852,12.9671997270404,8.14436614526587,0.00433041520551972,1
"MIR877",1.82091022724106,5.1583351355314,8.09208712948793,0.00445697759863775,1
"RABGGTB",3.41413906398946,3.9264274116942,8.03713231140568,0.00459409049448676,1
"KIF3A",4.01160125964266,3.52265087802754,8.02747744373535,0.00461862334225075,1
"TACC3",4.02313346336925,3.50618034399555,7.92474771487499,0.00488802696064322,1
"SSB",3.2810187954775,3.8672268046003,7.92352815888595,0.00489131549253144,1
"STK32A",4.01064616791001,3.55947528718212,7.83067244680676,0.00514877315718936,1
"RNU4-1",1.57863006638327,5.75031635505843,7.82281667253932,0.00517117602763849,1
"RPL12",4.04159921645419,3.7245469337418,7.80112579332998,0.00523355926728285,1
"GRPEL2",3.96470661651242,3.51813699728807,7.76838261832674,0.00532918268484583,1
"ASH1L",1.88936283307993,4.89885419265648,7.74818330361648,0.00538905150204773,1
"HSPD1",2.01067672760987,5.21900246004841,7.69394035228169,0.00555326523125085,1
"GNL2",3.16842905415393,3.97161659229496,7.67458031701644,0.00561310100089219,1
"SEC24B",3.99404548390292,3.71903568725773,7.61022434660501,0.00581678415974091,1
"TRAK2",2.5919099774792,4.01206306856231,7.56316716178446,0.0059704651019269,1
"RPS29",3.92643955472176,3.58696510369589,7.55119470082695,0.00601023288387097,1
"SHOC2",3.97884537439304,3.71189016313675,7.54555106312497,0.00602906862430575,1
"MIR21",1.45771463219753,6.42829409062374,7.52275680578808,0.00610575805783779,1
"SRSF11",3.35470745389994,3.85604508005821,7.45158316570728,0.0063516873436249,1
"NUB1",3.32626446720684,3.74277301482632,7.4456658668262,0.00637258461015521,1
"RPS7",3.19892471220331,3.77557614608063,7.39643467087288,0.00654918597471387,1
"TRPC4AP",3.26497800128095,3.85934568076069,7.35737023592032,0.00669286826020848,1
"DUSP5",3.88091828910018,3.44724219232523,7.31753692802638,0.00684270123236897,1
"MDH2",3.89942911426545,3.50162719279569,7.29761694144027,0.00691890879980455,1
"RABGAP1L",3.02751351043467,3.98309614436093,7.26245081177867,0.00705556261621125,1
"SNORD42A",1.33594462049967,13.4312892436054,7.25137570883059,0.00709917325315368,1
"PPIA",3.90556545559255,3.67553893398786,7.24955486850263,0.0071063698243862,1
"MIR7641-2",1.27920918773041,9.89966498177077,7.2398596226138,0.00714480902693712,1
"MFN2",3.03657719938356,4.02051305991042,7.19866080313621,0.00731053689226704,1
"MAPK1IP1L",-2.44118625351362,3.64743107157084,7.18489988814512,0.00736675700831049,1
"DMXL1",3.15861164933343,4.20706208432239,7.07837616190219,0.00781725457533372,1
"SLC16A1",2.49826006353626,4.03499172705498,7.05899204663911,0.00790221168731908,1
"C1orf52",3.29317182906162,3.69776789900382,7.04563220577703,0.00796132098900899,1
"SCARNA7",1.25419938903377,9.55759099016553,7.00633322431663,0.0081378198892196,1
"LINC00657",2.28362933888172,4.18144810968513,6.93948209950217,0.00844729301308451,1
"QTRTD1",3.81038427538885,3.47505668316179,6.91267663196436,0.00857476048459966,1
"SNORA45A",1.51267793188207,5.83327787062964,6.90562956964498,0.0086085902580919,1
"DSE",3.83695372651029,3.5528753648795,6.85559021556331,0.00885279751152556,1
"USP33",3.24601481949216,3.77711520377027,6.84841138856437,0.00888840340072491,1
"RPS3",1.77717399526196,4.9217223380964,6.83323188086477,0.00896418433350836,1
"SNORA54",2.73486776045288,4.39436438913827,6.82144641978842,0.0090234899697184,1
"MRPL47",3.79696139473932,3.45562828190429,6.81784291924893,0.00904169810469208,1
"HLTF",3.20832489782027,3.70092659262811,6.81329358549371,0.00906473682470884,1
"SMG6",3.83442296220619,3.38791547557129,6.80455303525079,0.00910918390243045,1
"PQBP1",-2.98862850789833,3.40233565925699,6.79216937811673,0.00917252166369738,1
"EIF2B1",3.8293698709874,3.53010290773362,6.78671054526676,0.0092005996618208,1
"AGAP1",2.71682063564121,4.40624641542135,6.78417739100298,0.0092136557992655,1
"HSP90AA1",1.36269192760461,6.58480372596529,6.72933083082068,0.00950100468571857,1
"NOP2",-3.08316956974631,3.30801899413819,6.68572539190095,0.00973599557537532,1
"ATRN",2.99648407116168,3.84986648154047,6.68472919057074,0.00974143585301989,1
"RALGAPB",1.95197197394619,4.55832569959198,6.66246050973515,0.00986379867057909,1
"MCMBP",3.75531360664253,3.43236020237351,6.65120227141218,0.00992627803980958,1
"DHX9",2.81607752890036,4.23261676388876,6.63458163678565,0.0100192359375981,1
"SNORD43",1.25505748729282,12.3136996731718,6.62438737097757,0.0100766949568561,1
"FCHO2",2.86523566547903,3.94278997242974,6.61259297555548,0.0101435858203397,1
"DAP3",3.186424386684,3.78633602853133,6.6080691281889,0.0101693676134186,1
"COPB2",1.86921280802704,4.58923399523793,6.58783687588826,0.0102854822706759,1
"HSD17B12",3.87184264387937,3.75621217269384,6.55945365493188,0.010450698618786,1
"SNORD48",1.26934931728665,13.4902749874815,6.55751141617706,0.0104620998474916,1
"ELOVL7",3.70483875787035,3.38242714985476,6.44041581619011,0.0111737361480941,1
"NEGR1",3.77200282681913,3.36315754883101,6.43635727304982,0.0111992742219369,1
"POLR2G",3.72195517546082,3.52692222101832,6.43617532088883,0.0112004207511391,1
"HIPK3",1.66201040812397,4.94721544192666,6.39953983518534,0.0114336877373043,1
"EPC1",3.72177567065152,3.49393973123396,6.38492139439596,0.01152816614604,1
"GLIS3",3.12417449690051,3.70016372841695,6.37470721918982,0.0115946429686767,1
"TRA2A",2.97513391272816,3.87015460284459,6.36457723769335,0.0116609644661459,1
"DDX21",1.65453612115752,4.85938456136188,6.3380850250057,0.0118362634592661,1
