"","logFC","logCPM","F","PValue","FDR"
"SNORD116-22",4.15852733077167,8.7449913857832,57.510274130214,3.73277115940881e-14,9.29353693612415e-10
"SNORD116-16",4.23024468283619,8.21427947772559,56.2600641594159,7.01796257211565e-14,9.29353693612415e-10
"SNORD116-2",3.91133419431803,8.58920833011183,52.5356179002902,4.61180365917713e-13,4.07145399711021e-09
"SNORD116-21",4.43843903582231,7.04491646030488,49.1991138937633,2.49758285254136e-12,1.65371204623895e-08
"SNORD116-24",3.93341707820109,6.92578165304188,42.5950282099638,7.13565395667737e-11,3.77975590085201e-07
"SNORD116-1",3.43492903971995,8.18509552284264,41.3653960507513,1.33394443416959e-10,5.88825305649693e-07
"SNORD115-15",3.71037445641341,6.61931048496222,38.4475543659658,5.89847742118941e-10,2.23173106428859e-06
"SNORD114-3",3.19064593100196,8.31967628696467,37.476814622614,9.6789152227432e-10,3.20432587092942e-06
"SNORD115-10",3.42839846292551,6.94481665917121,36.4446443338287,1.63942481229559e-09,4.82446290596096e-06
"TOP2A",3.50626856087835,6.89982267634574,35.593727681803,2.53225066495713e-09,6.50245373295784e-06
"SNORD116-8",3.03363323665112,9.41481849250615,35.4677700882255,2.7006604139149e-09,6.50245373295784e-06
"SNORD115-32",3.42584795836618,6.35980455001838,33.410900792549,7.73543412759754e-09,1.70727477391184e-05
"SNORD114-1",3.0964144857247,7.29766589116233,32.3135592307869,1.3572224531115e-08,2.76507974389678e-05
"SNORD114-14",3.43256522125789,6.05241732556965,31.74216671682,1.81921884457032e-08,3.44157222131749e-05
"SNORD116-25",3.12385949718482,6.86690605713152,30.9922233597513,2.67298128433546e-08,4.71959395437498e-05
"SNORD116-29",2.8984824081763,6.81215047473018,27.5980074405133,1.5311262974897e-07,0.000253449249931343
"SNORD116-26",2.80383947836134,7.36172535259349,27.4201741481237,1.67806646038679e-07,0.000261432883549084
"SNORD115-14",4.24664420315946,4.78536004798949,26.5374028150168,2.64543304140339e-07,0.000389246078342048
"CXCL8",-3.65318906616962,4.91579897993472,25.5410405579594,4.42492282248129e-07,0.000616810952386405
"CENPF",4.83276540470213,4.50024395195704,22.6792904015644,1.94727421010937e-06,0.00257867787273734
"SNORD113-5",2.53188717759269,6.53125882843182,21.4347820239733,3.71740785435417e-06,0.00468835938202715
"SNORD113-8",2.60505536552288,6.21164520143759,21.1578363408522,4.29357936504754e-06,0.00516888406742201
"SNORD113-7",2.71638483730549,5.53890496955963,20.5728852364328,5.82248439297087e-06,0.00670471735425363
"SNORD116-23",3.23227829962336,4.89845527486816,20.3079512754426,6.68458013668995e-06,0.00735618209027705
"SNORD111B",-2.19657435362627,9.62215240221459,20.2350184633142,6.94372483507367e-06,0.00735618209027705
"SNORD115-33",2.80486131771492,5.34614530723864,19.5670845556469,9.83901804066391e-06,0.0100225535694994
"SNORD114-17",3.16868956955454,4.86809133175585,19.4747866513302,1.03248508100154e-05,0.0101279138408614
"SNORD114-12",2.28731268486522,7.27569534617144,19.286844242597,1.13900780100782e-05,0.0107737934320329
"SNORD113-6",2.33488497204758,6.36640092382773,17.7211876129766,2.58511522885843e-05,0.0236092333918329
"SNORA45B",-2.23149906935195,6.55383355376027,17.4349236554402,3.00411432288656e-05,0.0265213226138835
"MIR222",-2.20700237334278,6.31773719972256,17.0883830794988,3.60377583454739e-05,0.0307890332187056
"SNORD115-2",4.26213576050531,4.13708688291115,16.5989900798348,4.66137733572849e-05,0.0385801808552403
"MIR3607",-2.12914471419567,6.66328619462636,16.1375847309224,5.94332239775962e-05,0.047699664758989
"MIR181B1",-2.34501163212548,5.48272890700311,14.6967299116025,0.000127216210998565,0.0990976867146176
"ATAD2",3.83997323699214,4.46110108657895,14.403070488523,0.00014863124918931,0.112471389565111
"SNORD115-39",3.16881554284914,4.35077173238107,14.3488896999506,0.000152962095948639,0.112533364199992
"C16orf72",3.78331818632724,4.26515920618734,14.1116031999724,0.000173479632046588,0.124178596074429
"DHRS2",4.7405473895888,3.796171671482,13.7813432496577,0.000206736324206348,0.14408977754224
"SNORD113-9",2.0729600630869,5.83022796477488,13.6662052642288,0.000219782831220788,0.149255084227758
"SNORA66",-1.99780619711607,5.90028707563879,13.5764006408069,0.000230532912516043,0.152641604699685
"SNORD67",-1.86787937950634,7.0631139269787,13.3738334398285,0.00025676852234772,0.165866202789741
"SNORD88B",1.77222399936757,7.87607142079552,12.693327934701,0.000369060971432715,0.232728091152273
"PTPN9",3.85578740289052,3.90679109724536,12.573909326248,0.000393366702043731,0.241740826458436
"SMC4",2.55423216658164,4.74834943317694,12.5350951376902,0.000401608320338727,0.241740826458436
"KIF23",4.5906912752914,3.80966458492568,12.4536220193265,0.000419484403049344,0.246889875883597
"SNORD115-44",4.58501083536062,3.63031505191288,12.3731462193193,0.000437927909963003,0.252141754247177
"SNORD116-27",2.0886962673357,5.48930918919626,12.1218124007038,0.000500968380132061,0.280521265608982
"HIST1H3H",2.94179937633555,4.23971841749676,12.0943023781074,0.000508401765121055,0.280521265608982
"MYC",-2.86120677997354,4.06842124649406,12.0463863654572,0.0005216178514659,0.281939771348456
"MAP1B",-2.06318552367063,5.03329913142812,11.7626363010493,0.000607312220907897,0.321693283414913
"RALGPS2",3.76008587677357,3.8912166290647,11.6799591040484,0.000634861334773993,0.329692204931161
"SNORD112",4.48388545934116,3.62998726047875,11.5175697682918,0.000692703199604933,0.339507130869475
"SCARNA6",-1.64455553033595,11.0591608781349,11.4971370951196,0.000700348068178433,0.339507130869475
"SEC11A",1.94163119688105,5.57289175680861,11.4859391807058,0.000704573736937423,0.339507130869475
"KRT7",-3.34746818023149,4.52860051378229,11.4847195773772,0.000705036518701949,0.339507130869475
"PMEPA1",-1.86239212560077,5.61674347907045,11.1830031577808,0.000829227325030818,0.392180101847165
"MIR182",-1.66898775212635,7.16630745839751,11.0926437867157,0.000870563058731835,0.404506361587941
"RRM1",2.43518593079323,4.51573617472341,10.9690524810863,0.00093049362244887,0.423619771775758
"ITGB6",-2.74110504504138,4.0696316249634,10.9411860702681,0.000944574249044409,0.423619771775758
"BUB1",4.33163376138728,3.56130275137696,10.8999202952426,0.000965825016571282,0.423619771775758
