"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","15/493","165/18986",0.0909090909090909,3.50101419878296,5.2681951917477,2.72820978293958e-05,0.0336216198204888,0.0316244901100642,"RPL12/RPS29/RPS7/RPS3/EIF2B1/DHX9/EIF2S3/CPEB4/RPS13/HNRNPU/RPL35A/RPL41/RPL13A/EIF2S2/PABPC1",15
"GO:0032210","regulation of telomere maintenance via telomerase","8/493","48/18986",0.166666666666667,6.4185260311021,6.13705198719158,2.95636804630911e-05,0.0336216198204888,0.0316244901100642,"SMG6/HSP90AA1/CCT2/HNRNPU/TCP1/CCT6A/TNKS2/NEK7",8
"GO:0032204","regulation of telomere maintenance","12/493","112/18986",0.107142857142857,4.12619530570849,5.41774073532981,3.45390876389614e-05,0.0336216198204888,0.0316244901100642,"SMG6/HSP90AA1/SMC6/CCT2/HNRNPU/TCP1/CCT6A/MAP3K4/MAPK3/XRCC1/TNKS2/NEK7",12
"GO:0032212","positive regulation of telomere maintenance via telomerase","6/493","26/18986",0.230769230769231,8.88718988921829,6.57074903436721,4.39914624730645e-05,0.0336216198204888,0.0316244901100642,"HSP90AA1/CCT2/TCP1/CCT6A/TNKS2/NEK7",6
"GO:0006354","DNA-templated transcription elongation","13/493","134/18986",0.0970149253731343,3.73615694347734,5.1896702486967,4.72663291125038e-05,0.0336216198204888,0.0316244901100642,"RN7SK/EZH2/MED14/ZMYND8/ELP2/ERCC3/LEO1/SETD5/VHL/HNRNPU/NELFCD/MED24/WDR43",13
"GO:0032784","regulation of DNA-templated transcription elongation","11/493","100/18986",0.11,4.23622718052738,5.29778200712286,5.71485935170917e-05,0.0336216198204888,0.0316244901100642,"RN7SK/EZH2/MED14/ZMYND8/LEO1/SETD5/VHL/HNRNPU/NELFCD/MED24/WDR43",11
"GO:0006368","transcription elongation by RNA polymerase II","12/493","118/18986",0.101694915254237,3.91638876474026,5.18858053279072,5.7982591461794e-05,0.0336216198204888,0.0316244901100642,"RN7SK/EZH2/MED14/ZMYND8/ELP2/ERCC3/LEO1/VHL/HNRNPU/NELFCD/MED24/WDR43",12
"GO:1904358","positive regulation of telomere maintenance via telomere lengthening","6/493","29/18986",0.206896551724138,7.96782541791984,6.13107360742864,8.49605140292532e-05,0.042278046508841,0.0397667236388445,"HSP90AA1/CCT2/TCP1/CCT6A/TNKS2/NEK7",6
"GO:0034243","regulation of transcription elongation by RNA polymerase II","10/493","88/18986",0.113636363636364,4.3762677484787,5.18316900040213,9.37428969153902e-05,0.042278046508841,0.0397667236388445,"RN7SK/EZH2/MED14/ZMYND8/LEO1/VHL/HNRNPU/NELFCD/MED24/WDR43",10
"GO:1904356","regulation of telomere maintenance via telomere lengthening","8/493","57/18986",0.140350877192982,5.40507455250703,5.43815936825368,0.000105534930817933,0.0428366284189989,0.0402921256922781,"SMG6/HSP90AA1/CCT2/HNRNPU/TCP1/CCT6A/TNKS2/NEK7",8
