"","total_fat","total_chol"
"F2_2",6.59,1646
"F2_14",2.96,834
"F2_15",6.96,1565
"F2_19",3.93,1060
"F2_23",4.87,1530
"F2_26",7.24,1758
"F2_42",5.79,1729
"F2_48",1.72,834
"F2_63",5.86,1508
"F2_65",6.15,1492
"F2_69",4.82,829
"F2_72",4.1,840
"F2_88",6.98,1016
"F2_109",6.15,812
"F2_126",7.39,1263
"F2_127",4.15,1609
"F2_143",4.78,1148
"F2_145",3.87,1105
"F2_154",5.29,824
"F2_155",3.1,1075
"F2_166",3.46,994
"F2_167",3.4,729
"F2_191",5.7,1538
"F2_192",4.91,1035
"F2_201",8.65,1472
"F2_214",3.17,1066
"F2_223",4.73,1188
"F2_225",4.05,800
"F2_241",4.97,864
"F2_244",3.28,794
"F2_245",4.78,1104
"F2_278",5.59,1100
"F2_296",4.92,1386
"F2_300",7.3,1414
"F2_305",4.1,1475
"F2_310",4.54,1287
"F2_312",5.45,1442
"F2_323",6.02,922
"F2_355",4.69,663
