"","total_fat","total_chol"
"MEblack",0.00648234707124575,0.0790125785787248
"MEblue",0.246355855725386,0.453556150117444
"MEbrown",0.0129220959120015,0.00988213792110016
"MEcyan",0.438509730530198,0.54702488259643
"MEgrey",0.494491373242439,0.694830182632268
"MElightcyan",0.00771373551175416,0.0496984878431735
"MEmagenta",0.00792985224039532,0.452201616420893
"MEmidnightblue",0.486647771281664,0.281466365687318
"MEpink",0.00700616768185703,0.0862540829268568
"MEred",0.655743299661773,0.165546593105919
"MEsalmon",0.150192954328199,0.563563238827529
"MEtan",0.0453351615759695,0.383891037411722
"MEturquoise",0.0818256339438492,0.400172168157056
